                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.9021,                 1.6725,                 1.3684,                0.64355,                0.59182,                0.62602,                0.28553,                 1.8402,                 1.4633,                 1.3385,               0.006733,               0.006733,               0.006733
                    102,                 1.8973,                 1.6657,                 1.3695,                0.64367,                0.59608,                 0.6257,                0.28525,                   1.84,                 1.4634,                 1.3382,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.9036,                 1.6632,                 1.3656,                0.64202,                0.60043,                0.62645,                0.28562,                 1.8397,                 1.4619,                 1.3379,               0.006667,               0.006667,               0.006667
                    104,                 1.8998,                 1.6646,                 1.3646,                0.64206,                0.60093,                0.62686,                0.28598,                 1.8396,                 1.4597,                 1.3376,               0.006634,               0.006634,               0.006634
                    105,                 1.8969,                 1.6595,                 1.3609,                0.64492,                0.59971,                0.62673,                0.28583,                 1.8404,                 1.4591,                 1.3374,               0.006601,               0.006601,               0.006601
                    106,                 1.8959,                 1.6581,                 1.3612,                0.64577,                0.59895,                0.62717,                0.28591,                 1.8415,                 1.4586,                 1.3378,               0.006568,               0.006568,               0.006568
                    107,                  1.887,                 1.6528,                 1.3607,                0.64591,                0.60187,                0.62848,                 0.2853,                 1.8415,                 1.4584,                 1.3378,               0.006535,               0.006535,               0.006535
                    108,                 1.8939,                 1.6536,                  1.363,                0.64743,                0.60187,                 0.6291,                 0.2865,                 1.8395,                 1.4582,                 1.3371,               0.006502,               0.006502,               0.006502
                    109,                 1.8967,                 1.6529,                 1.3601,                0.64855,                0.60233,                0.62937,                0.28641,                 1.8397,                 1.4564,                 1.3369,               0.006469,               0.006469,               0.006469
                    110,                 1.8901,                 1.6556,                 1.3626,                0.65166,                  0.599,                0.62777,                0.28586,                 1.8384,                 1.4553,                 1.3361,               0.006436,               0.006436,               0.006436
