                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.6767,                 1.3452,                 1.3789,                0.72564,                0.62912,                0.69967,                0.33254,                 1.7924,                 1.2281,                 1.4444,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.6709,                 1.3322,                 1.3848,                0.72542,                0.62922,                0.69887,                 0.3332,                  1.793,                 1.2282,                 1.4439,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.6768,                 1.3399,                 1.3851,                0.72455,                0.63023,                0.69909,                0.33318,                 1.7944,                 1.2279,                 1.4442,                0.00901,                0.00901,                0.00901
                    103,                 1.6697,                 1.3286,                 1.3772,                0.72543,                0.62734,                0.69968,                0.33307,                 1.7959,                 1.2281,                 1.4441,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.6695,                 1.3365,                 1.3774,                0.72769,                0.62878,                0.69942,                0.33321,                 1.7979,                  1.227,                 1.4447,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.6628,                  1.326,                 1.3789,                0.72393,                0.62641,                0.69892,                0.33286,                 1.8003,                 1.2287,                 1.4455,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.6614,                 1.3284,                 1.3728,                0.72557,                0.62841,                0.70107,                0.33265,                 1.8017,                 1.2278,                 1.4461,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.6631,                 1.3269,                  1.377,                0.72826,                0.62697,                0.70061,                0.33223,                 1.8027,                 1.2275,                 1.4448,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.6637,                 1.3214,                 1.3712,                0.72852,                0.62984,                0.70176,                0.33248,                 1.8033,                 1.2272,                 1.4444,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.6601,                 1.3193,                 1.3701,                0.72723,                0.62984,                0.70167,                0.33216,                 1.8049,                 1.2261,                 1.4444,              0.0089407,              0.0089407,              0.0089407
                    110,                  1.662,                  1.318,                 1.3735,                0.72147,                0.63548,                0.70141,                0.33338,                 1.8051,                 1.2256,                 1.4433,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.6559,                 1.3097,                 1.3637,                0.72278,                0.63404,                0.70149,                0.33294,                 1.8048,                 1.2258,                 1.4422,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.6542,                 1.3065,                 1.3705,                 0.7161,                0.63989,                0.70064,                0.33263,                  1.805,                 1.2253,                 1.4416,               0.008911,               0.008911,               0.008911
                    113,                 1.6525,                 1.3093,                 1.3668,                0.72998,                0.63128,                0.70061,                0.33292,                 1.8055,                 1.2253,                 1.4413,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.6534,                 1.3058,                 1.3683,                 0.7241,                0.63702,                0.70092,                0.33199,                 1.8061,                 1.2232,                 1.4405,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.6564,                 1.3049,                 1.3643,                0.72695,                0.63773,                0.70163,                 0.3325,                  1.806,                 1.2216,                 1.4404,              0.0088813,              0.0088813,              0.0088813
                    116,                  1.652,                 1.3034,                 1.3573,                0.72762,                0.63343,                0.70159,                0.33198,                  1.807,                 1.2215,                 1.4399,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.6573,                 1.3066,                  1.361,                 0.7288,                0.63271,                0.70231,                0.33166,                 1.8086,                 1.2226,                 1.4388,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.6534,                 1.2934,                 1.3626,                0.71811,                 0.6406,                0.70267,                 0.3321,                 1.8098,                 1.2213,                 1.4388,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.6516,                 1.2938,                 1.3582,                0.70301,                0.64993,                0.70248,                0.33216,                 1.8106,                 1.2206,                 1.4386,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.6502,                 1.2996,                 1.3654,                0.69749,                0.65002,                0.70185,                0.33182,                 1.8111,                 1.2219,                 1.4384,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.6447,                 1.2901,                 1.3583,                0.70302,                0.64993,                 0.7042,                 0.3324,                 1.8135,                 1.2208,                 1.4394,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.6443,                 1.2923,                 1.3538,                0.69782,                0.65495,                0.70385,                0.33222,                 1.8149,                 1.2184,                 1.4398,               0.008812,               0.008812,               0.008812
                    123,                 1.6454,                 1.2849,                 1.3565,                0.69772,                0.65352,                0.70443,                0.33203,                 1.8161,                 1.2188,                 1.4396,              0.0088021,              0.0088021,              0.0088021
